Company Name,Address,Phone,Website,Location 1,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Paramount Hotel,235 W 46th St,(212) 764-5500,http://www.nycparamount.com,"(40.759132, -73.986348)",1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      
Carter Hotel,250 W 43rd St,(212) 944-6000,,"(40.757309, -73.987901)",1,10036,40.757309,-73.987901,5,3,119,1085096,1010140055,Midtown-Midtown South                                                      
Millennium Hotel,145 W 44th St,(212) 768-4400,http://www.millenniumhotelnyc.com/,"(40.756667, -73.984396)",1,10036,40.756667,-73.984396,5,4,119,1085016,1009970010,Midtown-Midtown South                                                      
Best Western President Hotel,234 W 48th St,(212) 246-8800,http://www.bestwestern.com,"(40.760454, -73.985655)",1,10036,40.760454,-73.985655,5,3,125,1024764,1010190055,Midtown-Midtown South                                                      
Novotel,226 W 52nd St,(212) 315-0100,www.novotel.com,"(40.762897, -73.983683)",1,10019,40.762897,-73.983683,5,3,131,1024817,1010230018,Midtown-Midtown South                                                      
Dream Hotel,1674 Broadway,(212) 247-2000,http://www.dreamny.com/,"(40.762861, -73.983109)",1,10019,40.762861,-73.983109,5,4,131,1024831,1010240131,Midtown-Midtown South                                                      
W Hotel,1567 Broadway,(212) 930-7400,http://www.starwoodhotels.com/whotels/index.html,"(40.759247, -73.985168)",1,10036,40.759247,-73.985168,5,3,125,1024742,1010187501,Midtown-Midtown South                                                      
Doubletree Guest Suites,1568 Broadway,2127191600,www.nycdoubletreehotels.com,"(40.759055, -73.98471)",1,10036,40.759055,-73.98471,5,4,125,1000000,1009990061,Midtown-Midtown South                                                      
Stay Hotel,157 W 47th St,(212) 768-3700,,"(40.758678, -73.983342)",1,10036,40.758678,-73.983342,5,4,125,1022676,1010000007,Midtown-Midtown South                                                      
Hotel 41 At Times Square,206 W 41st St,(212) 703-8600,,"(40.755597, -73.987999)",1,10036,40.755597,-73.987999,5,3,113,1024650,1010120037,Midtown-Midtown South                                                      
"Time Hotel, The",224 W 49th St,(877) 846-3692,http://www.thetimeny.com/,"(40.761014, -73.985052)",1,10019,40.761014,-73.985052,5,3,125,1024782,1010200051,Midtown-Midtown South                                                      
Hilton Times Square,234 W 42nd St,(212) 642-2510,,"(40.756747, -73.988659)",1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      
The Westin New York at Times Square,270 W 43rd St,(212) 868-1900 ext 245,www.westinny.com,"(40.757482, -73.988309)",1,10036,40.757482,-73.988309,5,3,119,1087141,1010140058,Midtown-Midtown South                                                      
Crowne Plaza Times Square,1605 Broadway,(212) 977-4000,www.cpmanhattantimessquare.com,"(40.760537, -73.984644)",1,10019,40.760537,-73.984644,5,3,125,1076195,1010200046,Midtown-Midtown South                                                      
