Company Name,Price,Rating,Subindustry,Subsubindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,Region,Location 1
Europa Cafe,2,3,Caf_ / Deli,N/A,3 Times Sq,212-239-0160,www.euorpacafe.com,1,10036,40.756376,-73.986713,5,3,119,"1,024,686","1,010,140,033",Midtown-Midtown South ,"3 Times Sq(40.756376, -73.986713)"
Ranch 1,1,2.5,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,1,10019,40.762444,-73.985983,5,3,131,"1,024,809","1,010,220,002",Midtown-Midtown South                                                      ,"832 Eighth Ave(40.762444, -73.985983)"
Sosa Borella,2,3.5,Full Serve,Argentinian,832 Eighth Ave,(212) 262-8282,http://www.sosaborella.com/,1,10019,40.762444,-73.985983,5,3,131,"1,024,809","1,010,220,002",Midtown-Midtown South                                                      ,"832 Eighth Ave(40.762444, -73.985983)"
Mi Nidito (Cantina Mexicana),2,3,Full Serve,Mexican,852 Eighth Ave,(212) 265-0022,,1,10019,40.763128,-73.985481,5,3,131,"1,081,646","1,010,230,002",Midtown-Midtown South                                                      ,"852 Eighth Ave(40.763128, -73.985481)"
Starbucks,1,2.5,Coffee,N/A,"871-879 Eighth Ave, Suite# 871",2122467699,www.starbucks.com,1,10019,40.763644,-73.985134,4,3,133,"1,025,257","1,010,437,501",Clinton                                                                    ,"871-879 Eighth Ave, Suite# 871(40.763644, -73.985134)"
China Gourmet,1,2.5,Full Serve,Chinese,877 Eighth Ave,(212) 246-8181,,1,10019,40.763789,-73.985026,4,3,133,"1,025,257","1,010,437,501",Clinton                                                                    ,"877 Eighth Ave(40.763789, -73.985026)"
Rino Trattoria,0,0,Full Serve,Italian,877 Eighth Ave,(212) 307-0666,www.rinotrattoria.com,1,10019,40.763789,-73.985026,4,3,133,"1,025,257","1,010,437,501",Clinton                                                                    ,"877 Eighth Ave(40.763789, -73.985026)"
Laxmi Corp. Newsstand,1,2,Caf_ / Deli,N/A,879 Eighth Ave,,,1,10019,40.763839,-73.98499,4,3,133,"1,025,257","1,010,437,501",Clinton                                                                    ,"879 Eighth Ave(40.763839, -73.98499)"
Caffe Cielo,2,3,Full Serve,Italian,881 Eighth Ave,212 246-9555,,1,10019,40.763885,-73.984954,4,3,133,"1,025,323","1,010,437,502",Clinton                                                                    ,"881 Eighth Ave(40.763885, -73.984954)"
Cosmic Diner,2,2.5,Full Serve,Diner,888 Eighth Ave,212 333-5888,,1,10019,40.764072,-73.984791,5,3,131,"1,024,825","1,010,240,001",Midtown-Midtown South                                                      ,"888 Eighth Ave(40.764072, -73.984791)"
Brasserie Athena,2,3.5,Full Serve,French,300 W 46th St,(212) 399-1100,,1,10036,40.759963,-73.988355,4,3,121,"1,081,654","1,010,360,036",Clinton                                                                    ,"300 W 46th St(40.759963, -73.988355)"
The House of Brews,2,4,Full Serve,American,302 W 51st St,,http://www.houseofbrewsny.com/,1,10019,40.763037,-73.985958,4,3,133,"1,025,175","1,010,410,037",Clinton                                                                    ,"302 W 51st St(40.763037, -73.985958)"
Seasons,2,3,Full Serve,American,888 Eighth Ave,(212) 586-2257,,1,10019,40.764072,-73.984791,5,3,131,"1,024,825","1,010,240,001",Midtown-Midtown South                                                      ,"888 Eighth Ave(40.764072, -73.984791)"
World of Nuts and Ice Cream,1,1,Quick Serve,Dessert,888 Eighth Ave,(212) 245-0398,www.worldofnutsandicecream.com,1,10019,40.764072,-73.984791,5,3,131,"1,024,825","1,010,240,001",Midtown-Midtown South                                                      ,"888 Eighth Ave(40.764072, -73.984791)"
Green Emporium,2,3,Caf_ / Deli,N/A,791 Eighth Ave,2124591924,,1,10019,40.761133,-73.986958,4,3,127,"1,025,141","1,010,390,029",Clinton                                                                    ,"791 Eighth Ave(40.761133, -73.986958)"
Rosie O'Grady's Saloon,2,3,Full Serve,American,800 Seventh Ave,212-582-2975,,1,10019,40.762441,-73.982294,5,4,131,"1,024,827","1,010,240,029",Midtown-Midtown South                                                      ,"800 Seventh Ave(40.762441, -73.982294)"
"810 Deli, Inc",2,3,Caf_ / Deli,N/A,810 Seventh Ave,2125414136,www.810deli.com,1,10019,40.762639,-73.982146,5,4,131,"1,024,828","1,010,240,038",Midtown-Midtown South                                                      ,"810 Seventh Ave(40.762639, -73.982146)"
Deli / Caf_,2,3,Caf_ / Deli,N/A,810 Seventh Ave,(212) 541-4136,http://www.810deli.com/,1,10019,40.762639,-73.982146,5,4,131,"1,024,828","1,010,240,038",Midtown-Midtown South                                                      ,"810 Seventh Ave(40.762639, -73.982146)"
Ichi Masa Japanese Sushi,2,3,Full Serve,Japanese,825 Eighth Ave,(212) 315-4800,http://ichimasany.com/,1,10019,40.762074,-73.986275,4,3,127,"1,076,203","1,010,400,029",Clinton                                                                    ,"825 Eighth Ave(40.762074, -73.986275)"
Starbucks,1,2.5,Coffee,N/A,825 Eighth Ave,2124622020,www.starbucks.com,1,10019,40.762074,-73.986275,4,3,127,"1,076,203","1,010,400,029",Clinton                                                                    ,"825 Eighth Ave(40.762074, -73.986275)"
